word,lemma,headword,part_of_speech,word_family_id,canonical_headword,family_role,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,semantic_notes,related_words,opposites,common_collocations,raw_count_total,document_frequency_total,source_diversity,source_tables,form_counts,core_score,confidence,needs_human_review,review_reason
weathered,weather,weathered,,weather,weather,inflected_form,weathered,,,ancient_ruins_memory,,worn out or damaged by exposure to the elements,,withered;dormant;forsaken,verdant;lush;primal,,19,19,1,ItemSparse,weathered:19,114.9957,0.8,False,
dormant,dormant,dormant,,dormant,dormant,base,dormant,,,ancient_ruins_memory,,in a state of inactivity or suspended animation,,withered;weathered;forsaken,verdant;lush;primal,,49,43,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,dormant:49,91.912,0.8,False,
veiled,veil,veiled,,veil,veil,inflected_form,veiled,,,ancient_ruins_memory,,"hidden or concealed, often in a mysterious or obscure way",,sealed;buried;dormant,exposed;revealed;manifest,,17,17,3,BroadcastText;ItemSparse;JournalEncounterSection,veiled:17,88.8904,0.8,False,
forgotten,forgotten,forgotten,,forgotten,forgotten,base,forgotten,,,ancient_ruins_memory,,having been forgotten or left behind,,forgotten;abandoned;neglected,remembered;recalled,,80,80,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,forgotten:80,42.3944,0.1,True,low_confidence
hidden,hidden,hidden,,hidden,hidden,base,hidden,,,ancient_ruins_memory,,having been concealed or hidden from view,,concealed;hidden;secret,visible;exposed,,80,80,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,hidden:80,42.3944,0.1,True,low_confidence
restored,restore,restored,,restore,restore,inflected_form,restored,,,ancient_ruins_memory,,made or brought back to a former state of good condition,,memories;Runecarver,,,57,56,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,restored:57,42.0604,1.0,False,
primordial,primordial,primordial,,primordial,primordial,base,primordial,,,ancient_ruins_memory,,"existing or occurring at the beginning of something, especially one that is considered ancient or primitive",,ancient;primitive;primeval,modern;advanced;sophisticated,,16,15,4,ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,primordial:16,40.8332,0.8,False,
ruins,ruin,ruins,,ruin,ruin,inflected_form,ruins,,,ancient_ruins_memory,,remains of a destroyed or abandoned building or place,,destruction;abandonment;decay,,,32,30,3,BroadcastText;ItemSparse;JournalEncounter,ruins:32,39.4965,1.0,False,
crumbling,crumbl,crumbling,,crumbl,crumbl,inflected_form,crumbling,,,ancient_ruins_memory,,"falling apart or breaking down, especially because of age or wear",,decaying;rotting;ruined,,,10,10,3,ItemSparse;JournalEncounter;JournalEncounterSection,crumbling:10,38.3979,1.0,False,
faded,fad,faded,,fad,fad,inflected_form,faded,,,ancient_ruins_memory,,"becoming less bright or intense, especially because of age or wear",,diminished;weakened;waning,,,76,76,2,ItemSparse;JournalEncounterSection,faded:76,38.3438,1.0,False,
archive,archive,archive,,archive,archive,base,archive,,,ancient_ruins_memory,,a collection of historical documents or records,,documents;records;history,,,17,17,2,BroadcastText;ItemSparse,archive:17,36.8904,1.0,False,
reclaimed,reclaim,reclaimed,,reclaim,reclaim,inflected_form,reclaimed,,,ancient_ruins_memory,,regained or recovered something that was lost,,regain;recover;retrieve,,,13,13,2,BroadcastText;ItemSparse,reclaimed:13,36.6391,1.0,False,
primeval,primeval,primeval,,primeval,primeval,base,primeval,,,ancient_ruins_memory,,"existing from the beginning of time, or very old",,ancient;primordial;archaic,modern;new,,5,5,1,JournalEncounterSection,primeval:5,33.7918,0.8,False,
archaic,archaic,archaic,,archaic,archaic,base,archaic,,,ancient_ruins_memory,,"old-fashioned or outdated, often in a linguistic sense",,ancient;primordial;archaism,modern;contemporary,,4,4,1,ItemSparse,archaic:4,33.6094,0.8,False,
long-forgotten,long-forgotten,long-forgotten,,long-forgotten,long-forgotten,compound,long-forgotten,,long-forgotten,ancient_ruins_memory,,something that has been forgotten for a long time,,forgotten;lost;abandoned,remembered;preserved,,11,11,3,ItemSparse;JournalEncounter;JournalEncounterSection,long-forgotten:11,33.4849,0.8,False,
roh-kalo,roh-kalo,roh-kalo,,roh-kalo,roh-kalo,compound,roh-kalo,,roh-kalo,ancient_ruins_memory,,"Roh-Kalo, ancient ruins and memory",,fatescribe;Korthia's secrets,,,11,10,2,JournalEncounter;JournalEncounterSection,roh-kalo:11,31.4849,1.0,False,
half-finished,half-finish,half-finished,,half-finish,half-finish,compound,half-finished,,half-finished,ancient_ruins_memory,,not yet completed or finished,,finish;complete;incomplete,,,5,5,2,ItemSparse;JournalEncounterSection,half-finished:5,30.7918,0.8,False,
once-great,once-great,once-great,,once-great,once-great,compound,once-great,,once-great,ancient_ruins_memory,,"former, past greatness or glory",,great;former,small;unimportant,,2,2,2,BroadcastText;ItemSparse,once-great:2,30.0986,0.7,True,low_confidence
foul-smelling,foul-smell,foul-smelling,,foul-smell,foul-smell,compound,foul-smelling,,foul-smelling,ancient_ruins_memory,,having a strong and unpleasant smell,,stinky;odorous;fetid,fragrant;sweet-smelling;pleasant,,11,11,1,ItemSparse,foul-smelling:11,29.4849,0.7,True,low_confidence
odd-looking,odd-look,odd-looking,,odd-look,odd-look,compound,odd-looking,,odd-looking,ancient_ruins_memory,,something that looks unusual or strange,,look;appear;strange,normal;usual,,6,6,1,ItemSparse,odd-looking:6,28.9459,0.8,False,
complicated-looking,complicated-look,complicated-looking,,complicated-look,complicated-look,compound,complicated-looking,,complicated-looking,ancient_ruins_memory,,something that looks complex or difficult to understand,,look;appear;complex,simple;easy,,5,5,1,ItemSparse,complicated-looking:5,28.7918,0.7,True,low_confidence
rak-zakaz,rak-zakaz,rak-zakaz,,rak-zakaz,rak-zakaz,compound,rak-zakaz,,rak-zakaz,ancient_ruins_memory,,a mysterious place or ritual site,,place;ritual,,,5,5,1,ItemSparse,rak-zakaz:5,28.7918,0.8,False,
eco-dome,eco-dome,eco-dome,,eco-dome,eco-dome,compound,eco-dome,,eco-dome,ancient_ruins_memory,,a structure or building that is environmentally friendly,,structure;building;environmentally friendly,,,4,4,1,ItemSparse,eco-dome:4,28.6094,0.8,False,
many-faced,many-fac,many-faced,,many-fac,many-fac,compound,many-faced,,many-faced,ancient_ruins_memory,,having many faces or aspects,,faces;aspects,,,4,4,1,ItemSparse,many-faced:4,28.6094,0.9,False,
well-preserved,well-preserv,well-preserved,,well-preserv,well-preserv,compound,well-preserved,,well-preserved,ancient_ruins_memory,,"kept in good condition, especially after a long time",,preserved;conserved;protected,ruined;destroyed;vandalized,,3,3,1,ItemSparse,well-preserved:3,28.3863,0.8,False,
cast-off,cast-off,cast-off,,cast-off,cast-off,compound,cast-off,,cast-off,ancient_ruins_memory,,something that has been discarded or rejected,,discard;reject;abandon,cherished;valued;preserved,,2,2,1,ItemSparse,cast-off:2,28.0986,0.8,False,
ever-as,ever-a,ever-as,,ever-a,ever-a,compound,ever-as,,ever-as,ancient_ruins_memory,,something that remains or continues forever,,eternal;permanent;enduring,temporary;transitory;ephemeral,,2,2,1,ItemSparse,ever-as:2,28.0986,0.7,True,low_confidence
once-powerful,once-powerful,once-powerful,,once-powerful,once-powerful,compound,once-powerful,,once-powerful,ancient_ruins_memory,,"having been powerful in the past, often used to describe people or things",,power;past;person,,,2,2,1,BroadcastText,once-powerful:2,28.0986,0.8,False,
once-valuable,once-valuable,once-valuable,,once-valuable,once-valuable,compound,once-valuable,,once-valuable,ancient_ruins_memory,,"having been valuable in the past, often used to describe objects or items",,value;past;object,,,2,2,1,ItemSparse,once-valuable:2,28.0986,0.7,True,low_confidence
pre-cage,pre-cage,pre-cage,,pre-cage,pre-cage,compound,pre-cage,,pre-cage,ancient_ruins_memory,,"existing or occurring before a cage or enclosure, often used to describe people or things",,cage;person;thing,,,2,2,1,ItemSparse,pre-cage:2,28.0986,0.8,False,
soot-covered,soot-cover,soot-covered,,soot-cover,soot-cover,compound,soot-covered,,soot-covered,ancient_ruins_memory,,covered in soot,,soot;smoke;ash,clean;spotless;unblemished,,2,2,1,ItemSparse,soot-covered:2,28.0986,0.8,False,
archive--why,archive--why,archive--why,,archive--why,archive--why,compound,archive--why,,archive--why,ancient_ruins_memory,,relating to or dealing with the preservation and storage of knowledge or memories,,,,,1,1,1,BroadcastText,archive--why:1,27.6931,0.9,False,
clearly-defined,clearly-defin,clearly-defined,,clearly-defin,clearly-defin,compound,clearly-defined,,clearly-defined,ancient_ruins_memory,,having a clear or distinct shape,,distinct;defined;shaped,vague;indistinct,,1,1,1,ItemSparse,clearly-defined:1,27.6931,0.8,False,
clearly-unused,clearly-unus,clearly-unused,,clearly-unus,clearly-unus,compound,clearly-unused,,clearly-unused,ancient_ruins_memory,,obviously not being used or employed,,unused;abandoned;neglected,used;utilized,,1,1,1,ItemSparse,clearly-unused:1,27.6931,0.9,False,
damaged--cut,damaged--cut,damaged--cut,,damaged--cut,damaged--cut,compound,damaged--cut,,damaged--cut,ancient_ruins_memory,,something that has been broken or harmed in some way,,damaged;cut;broken,,,1,1,1,BroadcastText,damaged--cut:1,27.6931,0.6,True,low_confidence
dog-earred,dog-earr,dog-earred,,dog-earr,dog-earr,compound,dog-earred,,dog-earred,ancient_ruins_memory,,having a page turned down with a corner folded over,,page;folded;corner,,,1,1,1,ItemSparse,dog-earred:1,27.6931,0.4,True,low_confidence
dust-covered,dust-cover,dust-covered,,dust-cover,dust-cover,compound,dust-covered,,dust-covered,ancient_ruins_memory,,covered in or having a layer of dust,,dust;dirt;grime,clean;spotless,,1,1,1,ItemSparse,dust-covered:1,27.6931,0.1,True,low_confidence
earth-encrusted,earth-encrust,earth-encrusted,,earth-encrust,earth-encrust,compound,earth-encrusted,,earth-encrusted,ancient_ruins_memory,,covered in or having a layer of earth or soil,,earth;soil;dirt,clean;spotless,,1,1,1,ItemSparse,earth-encrusted:1,27.6931,0.1,True,low_confidence
earthen-crafted,earthen-craft,earthen-crafted,,earthen-craft,earthen-craft,compound,earthen-crafted,,earthen-crafted,ancient_ruins_memory,,made or created using earthy materials or techniques,,earth;soil;clay,metallic;artificial,,1,1,1,ItemSparse,earthen-crafted:1,27.6931,0.1,True,low_confidence
hollowed-out,hollowed-out,hollowed-out,,hollowed-out,hollowed-out,compound,hollowed-out,,hollowed-out,ancient_ruins_memory,,"empty, hollow inside",,,,,1,1,1,JournalEncounterSection,hollowed-out:1,27.6931,0.6,True,low_confidence
initial-carving,initial-carv,initial-carving,,initial-carv,initial-carv,compound,initial-carving,,initial-carving,ancient_ruins_memory,,first or earliest carving on an object,,carve;etch;engrave,,,1,1,1,ItemSparse,initial-carving:1,27.6931,1.0,False,
inner-workings,inner-working,inner-workings,,inner-working,inner-working,compound,inner-workings,,inner-workings,ancient_ruins_memory,,internal mechanisms or processes of a machine or system,,work;mechanism;process,,,1,1,1,ItemSparse,inner-workings:1,27.6931,1.0,False,
it--until,it--until,it--until,,it--until,it--until,compound,it--until,,it--until,ancient_ruins_memory,,referring to a past event or time,,,,,1,1,1,ItemSparse,it--until:1,27.6931,1.0,False,
light-charred,light-charr,light-charred,,light-charr,light-charr,compound,light-charred,,light-charred,ancient_ruins_memory,,"having been charred or burned by light, often in the context of damage or destruction",,charred;burned;damage,intact;unscathed,,1,1,1,JournalEncounterSection,light-charred:1,27.6931,0.7,True,low_confidence
long-ago,long-ago,long-ago,,long-ago,long-ago,compound,long-ago,,long-ago,ancient_ruins_memory,,in the distant past,,forgotten;lost;buried,,,1,1,1,ItemSparse,long-ago:1,27.6931,0.7,True,low_confidence
long-gone,long-gone,long-gone,,long-gone,long-gone,compound,long-gone,,long-gone,ancient_ruins_memory,,having disappeared long ago,,lost;forgotten;extinct,,,1,1,1,ItemSparse,long-gone:1,27.6931,0.4,True,low_confidence
meticulously-maintained,meticulously-maintain,meticulously-maintained,,meticulously-maintain,meticulously-maintain,compound,meticulously-maintained,,meticulously-maintained,ancient_ruins_memory,,carefully preserved or maintained,,,,,1,1,1,ItemSparse,meticulously-maintained:1,27.6931,1.0,False,
near-illegible,near-illegible,near-illegible,,near-illegible,near-illegible,compound,near-illegible,,near-illegible,ancient_ruins_memory,,almost impossible to read or understand,,illegible;unreadable;obscure,clear;readable,,1,1,1,ItemSparse,near-illegible:1,27.6931,0.5,True,low_confidence
now-decrepit,now-decrepit,now-decrepit,,now-decrepit,now-decrepit,compound,now-decrepit,,now-decrepit,ancient_ruins_memory,,currently decrepit,,decrepit;family;words,,,1,1,1,JournalEncounter,now-decrepit:1,27.6931,0.5,True,low_confidence
now-empty,now-empty,now-empty,,now-empty,now-empty,compound,now-empty,,now-empty,ancient_ruins_memory,,currently empty,,empty;family;words,,,1,1,1,ItemSparse,now-empty:1,27.6931,0.4,True,low_confidence
now-lost,now-lost,now-lost,,now-lost,now-lost,compound,now-lost,,now-lost,ancient_ruins_memory,,currently lost,,lost;family;words,,,1,1,1,ItemSparse,now-lost:1,27.6931,0.3,True,low_confidence
once-stylish,once-stylish,once-stylish,,once-stylish,once-stylish,compound,once-stylish,,once-stylish,ancient_ruins_memory;corruption_defilement_curse,,formerly fashionable or attractive,,fashionable;attractive;stylish,unfashionable;unattractive;unstylish,,1,1,1,ItemSparse,once-stylish:1,27.6931,0.8,False,
once-sweet,once-sweet,once-sweet,,once-sweet,once-sweet,compound,once-sweet,,once-sweet,ancient_ruins_memory;corruption_defilement_curse,,formerly sweet or pleasant,,sweet;pleasant;delicious,unsweet;unpleasant;undelicious,,1,1,1,ItemSparse,once-sweet:1,27.6931,0.8,False,
once-useful,once-useful,once-useful,,once-useful,once-useful,compound,once-useful,,once-useful,ancient_ruins_memory;corruption_defilement_curse,,formerly useful or beneficial,,useful;beneficial;helpful,unuseful;harmful;detrimental,,1,1,1,ItemSparse,once-useful:1,27.6931,0.8,False,
once-vivid,once-vivid,once-vivid,,once-vivid,once-vivid,compound,once-vivid,,once-vivid,ancient_ruins_memory;corruption_defilement_curse,,formerly vivid or colorful,,vivid;colorful;bright,unvivid;dull;drab,,1,1,1,ItemSparse,once-vivid:1,27.6931,0.8,False,
perfectly-restored,perfectly-restor,perfectly-restored,,perfectly-restor,perfectly-restor,compound,perfectly-restored,,perfectly-restored,ancient_ruins_memory,,"fully restored to its original state, often used to describe a historical or cultural artifact",,,,,1,1,1,ItemSparse,perfectly-restored:1,27.6931,0.8,False,
poorly-inscribed,poorly-inscrib,poorly-inscribed,,poorly-inscrib,poorly-inscrib,compound,poorly-inscribed,,poorly-inscribed,ancient_ruins_memory,,having a poorly written or unclear inscription,,illegible;unreadable;obscure,clear;legible;evident,,1,1,1,ItemSparse,poorly-inscribed:1,27.6931,0.6,True,low_confidence
pre-printed,pre-print,pre-printed,,pre-print,pre-print,compound,pre-printed,,pre-printed,ancient_ruins_memory,,something that has already been printed or written,,printed;written;published,handwritten;typescript;unpublished,,1,1,1,ItemSparse,pre-printed:1,27.6931,0.1,True,low_confidence
previously-lost,previously-lost,previously-lost,,previously-lost,previously-lost,compound,previously-lost,,previously-lost,ancient_ruins_memory,,something that has been previously lost or forgotten,,lost;forgotten;obscure,found;remembered;well-known,,1,1,1,ItemSparse,previously-lost:1,27.6931,0.1,True,low_confidence
roh-suir,roh-suir,roh-suir,,roh-suir,roh-suir,compound,roh-suir,,roh-suir,ancient_ruins_memory,,a person or place related to ancient ruins or forgotten knowledge,,ruin;ancient,,,1,1,1,ItemSparse,roh-suir:1,27.6931,0.7,True,low_confidence
scratch-marks,scratch-mark,scratch-marks,,scratch-mark,scratch-mark,compound,scratch-marks,,scratch-marks,ancient_ruins_memory,,marks or scars from scratching or tattooing,,scars;blemishes;defects,,,1,1,1,ItemSparse,scratch-marks:1,27.6931,0.8,False,
sea-weathered,sea-weather,sea-weathered,,sea-weather,sea-weather,compound,sea-weathered,,sea-weathered,ancient_ruins_memory,,showing signs of age and exposure to the sea,,weathered;worn;aged,new;fresh;untouched,,1,1,1,ItemSparse,sea-weathered:1,27.6931,0.7,True,low_confidence
stone-carved,stone-carv,stone-carved,,stone-carv,stone-carv,compound,stone-carved,,stone-carved,ancient_ruins_memory,,carved from stone,,,,,1,1,1,ItemSparse,stone-carved:1,27.6931,0.8,False,
taur-ahe,taur-ahe,taur-ahe,,taur-ahe,taur-ahe,compound,taur-ahe,,taur-ahe,ancient_ruins_memory,,an ancient language or script,,written;form,,,1,1,1,ItemSparse,taur-ahe:1,27.6931,0.6,True,low_confidence
temporally-lost,temporally-lost,temporally-lost,,temporally-lost,temporally-lost,compound,temporally-lost,,temporally-lost,ancient_ruins_memory,,something that is lost or forgotten in time,,relic;song,,,1,1,1,ItemSparse,temporally-lost:1,27.6931,0.7,True,low_confidence
ten-thousand-year,ten-thousand-year,ten-thousand-year,,ten-thousand-year,ten-thousand-year,compound,ten-thousand-year,,ten-thousand-year,ancient_ruins_memory,,a duration of time that is ten thousand years long,,shelf life;ceramic,,,1,1,1,ItemSparse,ten-thousand-year:1,27.6931,0.8,False,
ten-thousand-year-old,ten-thousand-year-old,ten-thousand-year-old,,ten-thousand-year-old,ten-thousand-year-old,compound,ten-thousand-year-old,,ten-thousand-year-old,ancient_ruins_memory,,something that is ten thousand years old,,ceramic;chamber pot,,,1,1,1,ItemSparse,ten-thousand-year-old:1,27.6931,0.9,False,
vintage-feeling,vintage-feel,vintage-feeling,,vintage-feel,vintage-feel,compound,vintage-feeling,,vintage-feeling,ancient_ruins_memory,,having a nostalgic or old-fashioned quality,,retro;antique;classic,modern;new;contemporary,,1,1,1,ItemSparse,vintage-feeling:1,27.6931,0.7,True,low_confidence
water-stained,water-stain,water-stained,,water-stain,water-stain,compound,water-stained,,water-stained,ancient_ruins_memory,,"stained with water, often indicating age or neglect",,weathered;worn,new;pristine,,1,1,1,ItemSparse,water-stained:1,27.6931,0.6,True,low_confidence
water-streaked,water-streak,water-streaked,,water-streak,water-streak,compound,water-streaked,,water-streaked,ancient_ruins_memory,,"streaks of water on a surface, often indicating age or neglect",,weathered;worn,new;pristine,,1,1,1,ItemSparse,water-streaked:1,27.6931,0.5,True,low_confidence
water-worn,water-worn,water-worn,,water-worn,water-worn,compound,water-worn,,water-worn,ancient_ruins_memory,,"worn by water, often indicating age or neglect",,weathered;worn,new;pristine,,1,1,1,ItemSparse,water-worn:1,27.6931,0.4,True,low_confidence
web-weaving,web-weav,web-weaving,,web-weav,web-weav,compound,web-weaving,,web-weaving,ancient_ruins_memory,,"the act of weaving or manipulating webs, often used to describe craftsmanship or skill",,craft;skill;artisanship,ineptitude;incompetence,,1,1,1,ItemSparse,web-weaving:1,27.6931,0.3,True,low_confidence
worldcore--a,worldcore--a,worldcore--a,,worldcore--a,worldcore--a,compound,worldcore--a,,worldcore--a,ancient_ruins_memory,,the core of the world,,world;core,,,1,1,1,BroadcastText,worldcore--a:1,27.6931,1.0,False,
worldsoul--the,worldsoul--the,worldsoul--the,,worldsoul--the,worldsoul--the,compound,worldsoul--the,,worldsoul--the,ancient_ruins_memory,,the soul of the world,,world;soul,,,1,1,1,BroadcastText,worldsoul--the:1,27.6931,1.0,False,
zan-tien,zan-tien,zan-tien,,zan-tien,zan-tien,compound,zan-tien,,zan-tien,ancient_ruins_memory,,a person or place related to Zan-Tien,,Zan-Tien;person;place,,,1,1,1,ItemSparse,zan-tien:1,27.6931,1.0,False,
zin-azshari,zin-azshari,zin-azshari,,zin-azshari,zin-azshari,compound,zin-azshari,,zin-azshari,ancient_ruins_memory,,a person or place related to Zin-Azshari,,Zin-Azshari;person;place,,,1,1,1,ItemSparse,zin-azshari:1,27.6931,1.0,False,
fragment,fragment,fragment,,fragment,fragment,base,fragment,,,ancient_ruins_memory,,a small part of something that has been broken or separated from the rest,,piece;part,,,163,154,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,fragment:163,15.0999,0.7,True,low_confidence
obsidian,obsidian,obsidian,,obsidian,obsidian,base,obsidian,,,ancient_ruins_memory,,"a dark, glossy volcanic glass",,rock;stone;mineral,,,131,122,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,obsidian:131,14.8828,0.5,True,low_confidence
memory,memory,memory,,memory,memory,base,memory,,,ancient_ruins_memory,,the ability to remember or recall something from the past,,recollection;remembrance,,,69,66,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,memory:69,14.2485,0.9,False,
echo,echo,echo,,echo,echo,base,echo,,,ancient_ruins_memory,,a repeated sound or a memory that is recalled from the past,,resonance;reminiscence,,,67,66,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,echo:67,14.2195,0.8,False,
