word,lemma,headword,part_of_speech,word_family_id,canonical_headword,family_role,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,semantic_notes,related_words,opposites,common_collocations,raw_count_total,document_frequency_total,source_diversity,source_tables,form_counts,core_score,confidence,needs_human_review,review_reason
teach,teach,teach,,teach,teach,lemma_group,teaches;teach,teaches,,magic_artifacts_runes;trade_crafting,,"to instruct or educate someone, possibly referring to a concept of skill or craftsmanship in the game",,educate;guide;instruct;mentor;train,confuse;deceive;ignores;mislead;neglects;overlooks,,9199,9194,3,BroadcastText;ItemSparse;JournalEncounter,teaches:9184;teach:15,11.1253,0.7,True,low_confidence
player,player,player,,player,player,lemma_group,players;player,players,,light_holy,,people who play a game or sport,,game;recreation;sport,,,6078,4861,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,players:4139;player:1939,16.3285,0.9,False,
summon,summon,summon,,summon,summon,lemma_group,summon;summons;summoned;summoning,summons;summoned;summoning,,corruption_defilement_curse;magic_artifacts_runes,,to call or bring something into existence,,appeal;bring;call;calling;conjure;conjuring;existence;invitation;invoke;invoking,banish;dismiss,,3826,3809,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,summon:3353;summons:295;summoned:120;summoning:58,16.1179,0.5,True,low_confidence
inflict,inflict,inflict,,inflict,inflict,lemma_group,inflicts;inflicting;inflict;inflicted,inflicts;inflicting;inflicted,,corruption_defilement_curse,,to cause harm or suffering to someone or something,,cause;causes;damage;harm;injure;injures;injury;torment,heals;protects;restores,,3264,3044,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,inflicts:1480;inflicting:1299;inflict:444;inflicted:41,14.0981,0.2,True,low_confidence
craft,craft,craft,,craft,craft,lemma_group,craft;crafted;crafting,crafted;crafting,,trade_crafting,,to create or make something by hand,,artisanship;created;forge;made;skilled;skilled labor,careless;unskilled,,3212,3209,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,craft:2769;crafted:372;crafting:71,45.9266,0.4,True,low_confidence
any,any,any,,any,any,lemma_group,any,,,light_holy,,used to indicate that something is possible or allowed,,allowed;permitted;possible,,,2294,2257,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,any:2294,17.7385,0.5,True,low_confidence
within,within,within,,within,within,lemma_group,within,,,light_holy,,located or happening inside something,,inside;interior,,,1791,1683,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,within:1791,17.4911,0.8,False,
companion,companion,companion,,companion,companion,lemma_group,companion;companions,companions,,family_relationships,,a person who accompanies or is with another,,accomplices;allies;friend;friends;partner,,,1427,1425,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,companion:1415;companions:12,15.2556,0.9,False,
contain,contain,contain,,contain,contain,lemma_group,contains;contain;containing,contains;containing,,corruption_defilement_curse;trade_crafting,,holds or includes something,,encloses;has;hold;include;includes;keep;retain,let go;release,,1395,1390,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,contains:1099;contain:172;containing:124,15.0031,0.8,False,
socket,socket,socket,,socket,socket,lemma_group,socket;socketed,socketed,,forge_weapons_armor,,a hole or recess in a surface for receiving something,,embedded;hole;inserted;insertion;recess,solid;unbroken,,1290,1290,2,ItemSparse;JournalEncounter,socket:1221;socketed:69,9.1082,0.6,True,low_confidence
